Feature,Score
Fence_GdPrv,7.34255781677e-05
Condition1_Artery,7.20478146599e-05
LandContour_Low,7.05719318589e-05
LotConfig_FR2,7.01823654057e-05
Neighborhood_BrkSide,6.88349781696e-05
HouseStyle_SLvl,6.85645913815e-05
MSZoning_FV,6.83018108273e-05
Neighborhood_Gilbert,6.60889136105e-05
LowQualFinSF,6.01977139056e-05
GarageType_None,5.59273069148e-05
Neighborhood_IDOTRR,5.56577732822e-05
Electrical_FuseA,5.47892803252e-05
KitchenQual_Fa,5.40813237591e-05
LandSlope_Sev,5.26474487559e-05
Neighborhood_SawyerW,5.18076210454e-05
Condition2_PosN,5.17383878716e-05
PavedDrive_P,5.06934728556e-05
Neighborhood_Mitchel,4.5027457973e-05
BsmtFinType2_BLQ,4.45932255657e-05
GarageQual_None,4.32602571591e-05
GarageQual_Fa,4.31954749496e-05
MSSubClass_90,4.30843814898e-05
Exterior2nd_BrkFace,4.25477444887e-05
FireplaceQu_Po,4.01346777119e-05
BsmtFinType2_Rec,3.69233645081e-05
MSSubClass_120,3.60760730656e-05
MSSubClass_160,3.59280742117e-05
GarageType_CarPort,3.56892993892e-05
MasVnrType_BrkCmn,3.56564379751e-05
SaleType_COD,3.34476751875e-05
Exterior2nd_Stucco,3.33796433922e-05
Functional_Min1,3.29861356392e-05
BldgType_Duplex,3.2642821797e-05
Functional_Maj2,3.22582730111e-05
GarageCond_None,3.1885537938e-05
Condition1_RRAe,2.84208337767e-05
BldgType_TwnhsE,2.77847847174e-05
Neighborhood_MeadowV,2.77742162666e-05
GarageFinish_None,2.76801777313e-05
GarageCond_Fa,2.64239007787e-05
MSZoning_RH,2.60357262816e-05
Functional_Min2,2.55754971298e-05
Heating_OthW,2.49406718469e-05
Exterior1st_BrkComm,2.48748383862e-05
MiscFeature_None,2.42671225988e-05
MiscFeature_Shed,2.42545943701e-05
Exterior2nd_Brk Cmn,2.39907940777e-05
GarageCond_Gd,2.352418456e-05
FireplaceQu_Fa,2.32575508178e-05
Heating_GasA,2.23763692208e-05
Neighborhood_Veenker,2.1492746613e-05
BsmtFinType2_LwQ,2.12898926597e-05
Neighborhood_SWISU,2.04991443681e-05
MiscVal,1.96277655766e-05
MSSubClass_75,1.95172549504e-05
Electrical_FuseF,1.94489336927e-05
GarageQual_Gd,1.88568992155e-05
LotConfig_FR3,1.88402896306e-05
Functional_Maj1,1.75946119844e-05
Condition1_RRAn,1.68908299302e-05
Condition1_PosA,1.66549271888e-05
BsmtExposure_None,1.64152864336e-05
MSSubClass_190,1.59058941849e-05
Heating_Grav,1.44285410251e-05
Exterior1st_WdShing,1.43444266627e-05
GarageType_Basment,1.43379694207e-05
Heating_GasW,1.30265089206e-05
BldgType_2fmCon,1.29903806192e-05
HouseStyle_2.5Fin,1.28518131399e-05
BsmtFinType1_None,1.23191328019e-05
Functional_Sev,1.22070455404e-05
RoofMatl_ClyTile,1.21793233076e-05
BsmtFinType2_None,1.21651150167e-05
SaleType_CWD,1.19264879028e-05
BldgType_Twnhs,1.18606332366e-05
Exterior1st_AsbShng,1.17039383085e-05
Foundation_Wood,1.14864139262e-05
SaleCondition_Alloca,1.04433294608e-05
RoofMatl_Tar&Grv,1.0344308849e-05
Street_Pave,1.02571984778e-05
Exterior2nd_AsbShng,9.55034982374e-06
ExterQual_Fa,9.30905031965e-06
HouseStyle_2.5Unf,8.88955923564e-06
HouseStyle_SFoyer,8.40359147382e-06
Neighborhood_Blmngtn,7.2999412113e-06
Condition2_Feedr,7.28105835218e-06
MSSubClass_40,6.88690304467e-06
Foundation_Slab,6.40813202376e-06
Exterior2nd_ImStucc,6.3870211876e-06
BsmtFinType2_GLQ,6.28503998692e-06
Neighborhood_NPkVill,6.21770190122e-06
RoofMatl_Membran,6.13982957274e-06
Exterior1st_Stone,5.83805559691e-06
SaleType_Con,5.79282740084e-06
SaleType_ConLw,5.12759460573e-06
SaleType_ConLI,4.72393805434e-06
Fence_MnWw,4.71125707524e-06
Exterior2nd_Stone,4.60000234951e-06
Street_Grvl,4.55141861595e-06
HouseStyle_1.5Unf,4.40129869682e-06
GarageCond_Po,4.12340099897e-06
GarageType_2Types,4.05697744527e-06
Exterior2nd_AsphShn,3.52053488066e-06
SaleType_ConLD,3.42438917238e-06
SaleCondition_AdjLand,3.33463299168e-06
MSSubClass_45,3.32231025696e-06
Exterior2nd_Other,3.25265510663e-06
Exterior1st_AsphShn,2.96073380887e-06
MSSubClass_85,2.92998874201e-06
Condition2_Artery,2.7111253069e-06
GarageQual_Ex,2.6892112514e-06
Electrical_Mix,2.62335065923e-06
SaleType_Oth,2.47481164833e-06
RoofStyle_Mansard,2.41128073342e-06
MSSubClass_180,2.11279452341e-06
GarageQual_Po,1.7691163348e-06
RoofMatl_WdShake,1.6617473695e-06
Heating_Floor,1.06661393518e-06
Condition1_RRNe,1.00210337057e-06
Foundation_Stone,9.25898651957e-07
Condition2_RRAe,9.14514979108e-07
MiscFeature_Gar2,8.61719001934e-07
MiscFeature_Othr,8.2761037712e-07
Electrical_FuseP,7.87289186314e-07
ExterCond_Ex,7.85250801634e-07
Neighborhood_BrDale,7.35466237599e-07
Condition1_RRNn,6.51544213619e-07
Neighborhood_Blueste,5.73063178656e-07
Condition2_PosA,5.54834808749e-07
MiscFeature_TenC,4.61380973145e-07
Heating_Wall,3.98252855613e-07
RoofMatl_Metal,3.95573339475e-07
RoofStyle_Shed,3.80226199372e-07
HeatingQC_Po,3.25486482093e-07
Exterior1st_ImStucc,2.61854393657e-07
Condition2_RRNn,2.5107119665e-07
GarageCond_Ex,1.87257682337e-07
Utilities_AllPub,8.50163875951e-08
Exterior2nd_CBlock,6.28346766257e-08
Condition2_RRAn,4.9283314726e-08
RoofMatl_Roll,3.91273364439e-08
Utilities_NoSeWa,1.2630354766e-08
Exterior1st_CBlock,9.0606924802e-09
ExterCond_Po,8.77097134036e-09
MSSubClass_150,0.0
